"","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
"1303","Q5625607","Gyulai Várvédők RK","rugby union team","2010-01-01","Gyulai Várvédők Rögbi Klub",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Gyulai_V%C3%A1rv%C3%A9d%C5%91k_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Gyulai_Várvédők_RK"
"1304","Q5625632","Gyöngyösi Farkasok RK","rugby union team","1991-01-01","Farkasok (Wolves); Gyöngyösi Farkasok; Gyöngyösi Farkasok Rugby Klub",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Gy%C3%B6ngy%C3%B6si_Farkasok_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Gyöngyösi_Farkasok_RK"
"1305","Q5626455","Gödöllői Ördögök RC","rugby union team","2006-01-01","Gödöllői Ördögök; Ördögök (Devils); Gödöllői Ördögök Rögbi Csapat",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"G%C3%B6d%C3%B6ll%C5%91i_%C3%96rd%C3%B6g%C3%B6k_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Gödöllői_Ördögök_RC"
"1306","Q5635791","HRC Gripen","rugby union club","1968-01-01","Helsingborgs Rugby Klubb Gripen",NA,NA,"Sweden",NA,NA,NA,NA,NA,NA,NA,"HRC_Gripen",NA,NA,NA,NA,"http://dbpedia.org/resource/HRC_Gripen"
"1309","Q5637768","Haderslev RC","rugby union team","1991-01-01","Haderslev Rugby Club",NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"Haderslev_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Haderslev_RC"
"1310","Q5639053","Haifa Wild Boars","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haifa_Wild_Boars",NA,NA,NA,NA,"http://dbpedia.org/resource/Haifa_Wild_Boars"
"1312","Q5642261","Halifax Vandals","rugby union team","1923-01-01",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1313","Q5644343","Hamburger SV Rugby","rugby union team","1925-01-01","Hamburger Sport-Verein e. V.",NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"Hamburger_SV_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Hamburger_SV_Rugby"
"1317","Q5656793","tomas meiser “el paquete”","rugby union team","1938-01-01",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,"122rv5x4",NA,"Old_Grangonian_Club",NA,"Old_Grangonian_Club",NA,NA
"1323","Q5674565","Hartford Wanderers RFC","rugby union team","1966-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1325","Q5676306","Harvard Business School RFC","rugby union team","1963-01-01","Harvard Business School Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Harvard_Business_School_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Harvard_Business_School_RFC"
"1326","Q5676639","Harvard rugby","rugby union club","1872-01-01","Crimson",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Harvard_rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Harvard_rugby"
"1328","Q5683604","Havelock Sports Club","rugby union team","1915-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Havelock_Sports_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Havelock_Sports_Club"
"1334","Q5710525","Helsinki RC","rugby union club","1999-01-01","Big Guns (Men 1st); Blue Tigers (Men 2nd); Helsinki Rugby Club; Ladies (Women); Helsinki Rugby Football Club",NA,NA,"Finland","Finnish Championship League",NA,NA,NA,NA,NA,NA,"Helsinki_RC",NA,"Helsinki_Rugby_Club",NA,NA,"http://dbpedia.org/resource/Helsinki_RC"
"1347","Q5773811","Club Deportivo Hercesa","rugby union team","2001-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"Alcalá de Henares",NA,"122nj8vh",NA,NA,NA,"Club_Deportivo_Hercesa",NA,NA
"1349","Q5774772","Club Sol de Mayo","rugby union club","1920-08-02",NA,NA,NA,"Argentina",NA,NA,NA,NA,"Viedma",NA,"122tc9tt",NA,NA,NA,"Club_Social_y_Deportivo_Sol_de_Mayo",NA,NA
"1350","Q5775039","Club de Golf del Uruguay","rugby union club","1922-01-01",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Club_de_Golf_del_Uruguay",NA,NA,"Club_de_Golf_del_Uruguay",NA,NA
"1351","Q5775167","Associated Clubs Progreso Rowing and Independiente","rugby union club","1960-01-01",NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,"120wr89s",NA,NA,NA,"Clubes_Asociados_Progreso_Rowing_e_Independiente",NA,NA
"1352","Q5790523","Craighouse Old Boys","rugby union club","1972-01-01",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,"120pnkw7",NA,NA,NA,"Craighouse_Old_Boys",NA,NA
"1353","Q5815133","Durango RT","rugby union team","1986-01-01","Durango Nissan-Gaursa; Durango Rugby Taldea",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,"155r9lls","Durango_RT",NA,NA,"Durango_Rugby_Taldea",NA,"http://dbpedia.org/resource/Durango_RT"
"1354","Q5852829","Unione Rugby Sannio","rugby union team","1998-01-01","Rugby Sannio",NA,NA,"Italy",NA,NA,NA,NA,NA,NA,NA,"Unione_Rugby_Sannio",NA,NA,"Unione_Rugby_Sannio",NA,"http://dbpedia.org/resource/Unione_Rugby_Sannio"
"1358","Q5884404","Gran Parma Rugby","rugby union team","1999-01-01",NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA,"121sr9gq",NA,NA,NA,"Gran_Parma_Rugby",NA,NA
"1359","Q5884448","Holstebro RK","rugby union team","1980-01-01","Vikingerne (Vikings)",NA,NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"Holstebro_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Holstebro_RK"
"1360","Q5889287","Homeboyz RFC","rugby union team","2009-01-01","Homeboyz; Homeboyz Rugby Football Club",NA,NA,"Kenya",NA,NA,NA,NA,"Nairobi",NA,NA,"Homeboyz_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Homeboyz_RFC"
"1362","Q5894993","Hong Kong Scottish","rugby union team",NA,"KPMG HK Scottish; Hong Kong Scottish RFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong_Kong_Scottish","Hong_Kong_Scottish",NA,NA,NA,"http://dbpedia.org/resource/Hong_Kong_Scottish"
"1364","Q5904498","Hornsby Rugby Club","rugby union club","1962-01-01","Hornsby Rugby Union Club; Hornsby Rugby Union Football Club",NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Hornsby_Rugby_Union_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Hornsby_Rugby_Union_Club"
"1366","Q5915985","Ingenieros Industriales Las Rozas Rugby","rugby union club","1971-01-01",NA,NA,NA,"Spain","División de Honor B de Rugby",NA,NA,NA,NA,NA,"121l5nr3",NA,NA,NA,"Ingenieros_Industriales_Las_Rozas_Rugby",NA,NA
"1373","Q5970887","IF Attila","rugby union club","1949-01-01","Attila Rugby Club",NA,NA,"Sweden",NA,NA,NA,NA,NA,NA,NA,"IF_Attila",NA,NA,NA,NA,"http://dbpedia.org/resource/IF_Attila"
"1377","Q6005403","Immortals RLFC","rugby union team","2002-01-01","IMMORTALS RLFC; IMMORTALS RLFC Reserves; LAU IMMORTALS Rugby League Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immortals_RLFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Immortals_RLFC"
"1378","Q6006032","Impala RFC","rugby union team",NA,"Impala Saracens; Impala",NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,"Impala_Saracens",NA,NA,NA,NA,"http://dbpedia.org/resource/Impala_Saracens"
"1380","Q6017638","Independiente RC","rugby union team","1917-01-01","Independiente Rugby Club; Verdes (greens) Bisontes (bisons)",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Independiente_RC","Independiente_Rugby_Club",NA,"Independiente_Rugby_Club",NA,"http://dbpedia.org/resource/Independiente_RC"
"1381","Q6023867","Indianapolis Impalas","rugby union team","1980-01-01","(Indianapolis RFC); Indianapolis Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Indianapolis_Impalas",NA,NA,NA,NA,"http://dbpedia.org/resource/Indianapolis_Impalas"
"1382","Q6049694","Old Markhamians Rugby Football Club","rugby union team","1995-01-01",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11r_phc65",NA,NA,NA,"Old_Markhamians_Rugby_Football_Club",NA,NA
"1383","Q6058831","Palencia Rugby Club","rugby union team","1991-01-01",NA,NA,NA,"Spain",NA,NA,"Estadio Nueva Balastera",NA,NA,NA,"120jqt4z",NA,NA,NA,"Palencia_Rugby_Club",NA,NA
"1386","Q6068556","Ireland Wolfhounds","second national rugby union teams",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,"Ireland_Wolfhounds",NA,"Nazionale_A_di_rugby_a_15_dell%27Irlanda","Ireland_Wolfhounds",NA,"http://dbpedia.org/resource/Ireland_Wolfhounds"
"1387","Q6068681","Ireland national schoolboy rugby union team","national rugby union team",NA,"Ireland Schoolboys",NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,"Ireland_national_schoolboy_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Ireland_national_schoolboy_rugby_union_team"
"1388","Q6068684","Ireland national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Ireland",NA,NA,NA,NA,NA,NA,NA,"Ireland_national_under-20_rugby_union_team","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Irlanda","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%AB%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Ireland_national_under-20_rugby_union_team"
"1391","Q6082089","Islamabad Rugby Football Club","rugby union team","1992-01-01","Islamabad RFC",NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Islamabad_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Islamabad_Rugby_Football_Club"
"1393","Q6093838","Italy national under-18 rugby union team","rugby union team",NA,NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA,NA,"Italy_national_under-18_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Italy_national_under-18_rugby_union_team"
"1394","Q6093842","Italy national under-20 rugby union team","rugby union team","2008-01-01",NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA,"11bvtr5fm0","Italy_national_under-20_rugby_union_team","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV_des_moins_de_20_ans","Nazionale_maschile_under_20_di_rugby_a_15_dell%27Italia","Selecci%C3%B3n_juvenil_de_rugby_de_Italia","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Italy_national_under-20_rugby_union_team"
"1395","Q6102027","Real Madrid Rugby","rugby union team","1924-01-01","Real Madrid","1948-01-01","Spanish Rugby Federation","Spain",NA,NA,"Estadio Chamartín","15000",NA,NA,"1ym_l4sgb","Real_Madrid_Rugby",NA,"Real_Madrid_Club_de_F%C3%BAtbol_(rugby_a_15)","Secci%C3%B3n_de_Rugby_del_Real_Madrid_Club_de_F%C3%BAtbol",NA,"http://dbpedia.org/resource/Real_Madrid_Rugby"
"1396","Q6118024","Jacksonville Rugby Football Club","rugby union team","1973-01-01","Jacksonville RFC",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Jacksonville_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Jacksonville_Rugby_Football_Club"
"1399","Q6124220","Colombia national rugby sevens team","rugby union club",NA,NA,NA,NA,"Colombia",NA,NA,NA,NA,NA,NA,"122qy610","Colombia_national_rugby_sevens_team",NA,NA,"Selecci%C3%B3n_masculina_de_rugby_7_de_Colombia",NA,NA
"1403","Q6137222","NTT Shining Arcs","rugby union club","1976-01-01","Urayasu D-Rocks; 浦安D-Rocks",NA,NA,"Japan",NA,NA,"Chichibunomiya Rugby Stadium",NA,NA,NA,NA,"Urayasu_D-Rocks","Urayasu_D-Rocks",NA,NA,"NTT%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA_%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%A2%E3%83%BC%E3%82%AF%E3%82%B9%E6%9D%B1%E4%BA%AC%E3%83%99%E3%82%A4%E6%B5%A6%E5%AE%89","http://dbpedia.org/resource/Urayasu_D-Rocks"
"1405","Q6156767","Universidad de Granada Rugby","rugby union team","1969-01-01",NA,NA,NA,"Spain","División de Honor B de Rugby",NA,"Campo de Rugby de Fuentenueva",NA,"Granada",NA,"11dyjtflp",NA,NA,NA,"Universidad_de_Granada_Rugby",NA,NA
"1407","Q6158042","Japan national under-20 rugby union team","rugby union team","2008-01-01",NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,"Japan_national_under-20_rugby_union_team","%C3%89quipe_du_Japon_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Jap%C3%B3n","U20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Japan_national_under-20_rugby_union_team"
"1409","Q6184915","The Jersey Reds R.F.C.","rugby union club","1879-01-01","Jersey Reds; Jersey Reds, formerly Jersey Rugby Football Club",NA,NA,"United Kingdom",NA,NA,"St. Peter",NA,NA,NA,NA,"Jersey_Reds","Jersey_Reds",NA,"Jersey_Reds","%E3%82%B8%E3%83%A3%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%BB%E3%83%AC%E3%83%83%E3%82%BA","http://dbpedia.org/resource/Jersey_Reds"
"1410","Q6319548","Jyväskylä RC","rugby union team","2001-01-01","Jyväskylä Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jyv%C3%A4skyl%C3%A4_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Jyväskylä_RC"
"1411","Q6345871","Kadıköy Rugby","rugby union team","2006-01-01","Kadıköy Rugby Football Club",NA,NA,"Turkey",NA,NA,NA,NA,NA,NA,NA,"Kad%C4%B1k%C3%B6y_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Kadıköy_Rugby"
"1412","Q6361705","Kandy Sports Club","rugby union team","1874-01-01","Kandy Sports Club (rugby); Kandy S.C; Kandy Athletic, Boating, Cricket, Football and Dancing Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kandy_Sports_Club_(rugby)",NA,NA,NA,NA,"http://dbpedia.org/resource/Kandy_Sports_Club_(rugby)"
"1413","Q6364670","Kansas City Blues Rugby Football Club","rugby union club","1966-01-01","Kansas City Blues (rugby union); Kansas City Blues",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Kansas_City_Blues_(rugby_union)","Kansas_City_Blues_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Kansas_City_Blues_(rugby_union)"
"1414","Q6367776","Karachi Rugby Football Club","rugby union team","1926-01-01","Karachi RFC",NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Karachi_Rugby_Football_Club"
"1415","Q6372599","Karlsruher SV Rugby","rugby union team","1991-01-01","Karlsruher Sportverein Rintheim-Waldstadt e.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karlsruher_SV_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Karlsruher_SV_Rugby"
"1420","Q6392562","Kenya Commercial Bank RFC","rugby union team","1989-01-01","KCB RFC; KCB Rugby Club",NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,"Kenya_Commercial_Bank_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Kenya_Commercial_Bank_RFC"
"1421","Q6392577","Kenya Harlequin F.C.","rugby union team",NA,"Kenya Harlequin Football Club",NA,NA,"Kenya",NA,NA,NA,NA,"Nairobi",NA,NA,"Kenya_Harlequin_F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Kenya_Harlequin_F.C."
"1424","Q6403665","Kia Toa RFC","rugby union club",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"Kia_Toa_RFC",NA,NA,NA,NA,NA
"1428","Q6407323","Killarney RFC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Killarney_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Killarney_RFC"
"1431","Q6410899","King's College London Rugby Football Club","rugby union team","1869-01-01",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"King%27s_College_London_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/King's_College_London_Rugby_Football_Club"
"1437","Q6430720","RC Valencia","rugby union team","1966-01-01","Tecnidex Valencia; Rugby Club Valencia",NA,"Spanish Rugby Federation","Spain","División de Honor B de Rugby",NA,"Quatre Carreres",NA,"Valencia",NA,NA,"RC_Valencia",NA,NA,"Rugby_Club_Valencia",NA,"http://dbpedia.org/resource/RC_Valencia"
"1438","Q6435053","Kowloon RFC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kowloon_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Kowloon_RFC"
"1439","Q6435992","Kraljevski Beogradski Ragbi Klub","rugby union team","2014-01-01","Royal Belgrade Rugby Club; ; Краљевски Београдски Рагби Клуб",NA,NA,"Serbia",NA,NA,NA,NA,NA,NA,NA,"Royal_Belgrade_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Royal_Belgrade_Rugby_Club"
"1441","Q6445259","Kuopio RC","rugby union team",NA,"Kuopio Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kuopio_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Kuopio_RC"
"1442","Q6457199","LA Rugby Club","rugby union club","1958-01-01","Los Angeles Rugby Club; Los Angeles Rugby Club (LARC)",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Los_Angeles_Rugby_Club","Los_Angeles_Rugby",NA,NA,NA,"http://dbpedia.org/resource/Los_Angeles_Rugby_Club"
"1443","Q6473410","Lahore Rugby Football Club","rugby union team","1991-01-01","Lahore RFC",NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Lahore_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Lahore_Rugby_Football_Club"
"1450","Q6501981","Lausanne Football Club","rugby union team","1867-01-01","Lausanne F.C.; Lausanne",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Lausanne_F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Lausanne_F.C."
"1451","Q6503040","Law FC","rugby union team","1870-01-01","The Law Club; Law Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Law_FC",NA,NA,NA,NA,"http://dbpedia.org/resource/Law_FC"
"1456","Q6522850","Lennox Football Club","rugby union team","1883-01-01",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Lennox_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Lennox_Football_Club"
"1457","Q6529511","Les Gaillards","rugby union team","2004-01-01","Les Gaillards Paris Rugby Club",NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,"Les_Gaillards",NA,NA,NA,NA,"http://dbpedia.org/resource/Les_Gaillards"
"1462","Q6548897","Limassol Crusaders","rugby union team",NA,"Limassol Crusaders Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limassol_Crusaders",NA,NA,NA,NA,"http://dbpedia.org/resource/Limassol_Crusaders"
"1464","Q6552410","Lindenwood Lions men's rugby","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Lindenwood_Lions_men%27s_rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Lindenwood_Lions_men's_rugby"
"1466","Q6554550","Linna RC","rugby union team","2011-01-01","Linna Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linna_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Linna_RC"
"1468","Q6658676","Liversedge RFC","rugby union team","1877-01-01",NA,"1906-01-01",NA,"United Kingdom",NA,NA,"King George V playing field, Liversedge; Whitcliffe",NA,NA,NA,NA,"Liversedge_RFC",NA,NA,NA,NA,NA
"1485","Q6668737","Lokomotiv RFC","rugby union team",NA,NA,NA,NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"Lokomotiv_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Lokomotiv_RFC"
"1489","Q6682316","Los Angeles Rebellion","rugby union team","2001-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Los_Angeles_Rebellion",NA,NA,NA,NA,NA
"1506","Q6744419","Malmö RC","rugby union club","1954-01-01","Malmö Rugby Club",NA,NA,"Sweden",NA,NA,NA,NA,NA,NA,NA,"Malm%C3%B6_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Malmö_RC"
"1508","Q6749968","Manitoba Buffalo","rugby union team",NA,"Manitoba Buffalo Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Manitoba_Buffalo",NA,NA,NA,NA,"http://dbpedia.org/resource/Manitoba_Buffalo"
"1510","Q6764383","Mariners RFC","rugby union team",NA,"Mariners Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Mariners_RFC"
"1513","Q6765696","Marist St. Joseph","rugby union club",NA,"Marist St. Joseph Sports Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marist_St._Joseph",NA,NA,NA,NA,"http://dbpedia.org/resource/Marist_St._Joseph"
"1515","Q6771676","Marlborough Nomads","rugby union team","1868-01-01","Marlborough Nomads Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Marlborough_Nomads","Marlborough_Nomads",NA,NA,NA,"http://dbpedia.org/resource/Marlborough_Nomads"
"1517","Q6773260","Marseille Provence XV","rugby union team","2000-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Marseille",NA,NA,"Marseille_Provence_XV",NA,NA,NA,NA,"http://dbpedia.org/resource/Marseille_Provence_XV"
"1518","Q6781322","Maryland Exiles","rugby union club","1993-01-01","Maryland Exiles Rugby Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Maryland_Exiles",NA,NA,NA,NA,"http://dbpedia.org/resource/Maryland_Exiles"
"1519","Q6803583","Mean Machine RFC","rugby union team",NA,"Machine (Eschuma).; Mean Machine; Mean Machine Rugby Football Club",NA,NA,"Kenya",NA,NA,NA,NA,"Nairobi",NA,NA,"Mean_Machine_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Mean_Machine_RFC"
"1521","Q6807390","Medvék RK","rugby union team","2003-01-01","Medvék (Bears); Medvék Rögbi Klub",NA,NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"Medv%C3%A9k_RK",NA,NA,NA,NA,"http://dbpedia.org/resource/Medvék_RK"
"1525","Q6818468","Merchistonian FC","rugby union team",NA,"Merchistonian Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Merchistonian_FC","Merchistonian_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Merchistonian_FC"
"1528","Q6841755","Middlebury College Rugby Club","rugby union club","1972-01-01","Middlebury; The Middlebury College Rugby Club",NA,NA,"U.S.A.",NA,NA,NA,NA,"Middlebury",NA,NA,"Middlebury_College_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Middlebury_College_Rugby_Club"
"1531","Q6844162","Mighty Minnows","rugby union team",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Mighty_Minnows",NA,NA,NA,NA,NA
"1533","Q6868001","Minneapolis Mayhem","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Minneapolis_Mayhem",NA,NA,NA,NA,NA
"1536","Q6894166","Mohicans Football Club","rugby union team","1869-01-01","Mohicans",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Mohicans_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Mohicans_Football_Club"
"1540","Q6901115","Monmouth Rugby Club","rugby union team","1973-01-01","Monmouth Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Monmouth_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Monmouth_Rugby_Club"
"1543","Q6906248","Montreal Barbarians","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Barbarians",NA,NA,NA,NA,NA
"1544","Q6906280","Montreal Football Club","rugby union team",NA,NA,"1915-01-01",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Football_Club",NA,NA,NA,NA,NA
"1545","Q6906344","Montreal Wanderers RFC","rugby union club",NA,"Montreal Wanderers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montreal_Wanderers_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Montreal_Wanderers_RFC"
"1546","Q6911569","Morgan Academy RFC","rugby union team",NA,"Morgan Rugby Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Morgan_Academy_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Morgan_Academy_RFC"
"1557","Q6944635","Mwamba RFC","rugby union team","1977-01-01","Mwamba Rugby Football Club",NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,"Mwamba_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Mwamba_RFC"
"1558","Q6948969","Mystic River Rugby Club","rugby union team","1974-01-01","Mystic River Rugby",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Mystic_River_Rugby_Club","Mystic_River_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Mystic_River_Rugby_Club"
"1559","Q6955430","NS Wanderers RC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NS_Wanderers_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/NS_Wanderers_RC"
"1560","Q6955480","NTNUI Rugby","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTNUI_Rugby",NA,NA,NA,NA,NA
"1567","Q6966973","Nashville Grizzlies RFC","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Nashville_Grizzlies_RFC",NA,NA,NA,NA,NA
